question,option1,option2,option3,option4,correct_answer
"Quelle est la capitale de la France ?","Lyon","Marseille","Paris","Bordeaux","Paris"
"Qui a développé la théorie de la relativité ?","Isaac Newton","Albert Einstein","Galileo Galilei","Nikola Tesla","Albert Einstein"
"Quel élément a le symbole chimique 'O' ?","Oxygen","Gold","Silver","Iron","Oxygen"
"Quel est le plus long fleuve du monde ?","Ganges","Amazon","Nile","Mississippi","Amazon"
"Quel est l'organe responsable de la circulation sanguine ?","Cerveau","Foie","Poumon","Cœur","Cœur"
"Quelle planète est souvent appelée la ""planète rouge"" ?","Vénus","Jupiter","Mars","Saturne","Mars"
"Quel est le plus grand mammifère du monde ?","Éléphant","Girafe","Baleine bleue","Lion","Baleine bleue"
"Quel pays est célèbre pour sa muraille ?","Italie","Grèce","Chine","Égypte","Chine"
"Dans quel pays se trouve la Tour de Pise ?","Espagne","France","Italie","Portugal","Italie"
"Qui a peint la 'Joconde' ?","Vincent Van Gogh","Pablo Picasso","Leonardo da Vinci","Claude Monet","Leonardo da Vinci"
"Quel élément a le symbole chimique 'Na' ?","Sodium","Azote","Neon","Nickel","Sodium"
"Quelle ville est connue comme la ville des canaux ?","Venise","Paris","Dublin","Bruxelles","Venise"
"Qui est connu pour avoir développé le premier téléphone ?","Thomas Edison","Alexander Graham Bell","Nikola Tesla","Michael Faraday","Alexander Graham Bell"
"Quelle est la montagne la plus haute du monde ?","K2","Kangchenjunga","Mount Everest","Lhotse","Mount Everest"
"Quelle structure cellulaire est le 'centre de contrôle' de la cellule ?","Mitochondrie","Noyau","Réticulum endoplasmique","Cytoplasme","Noyau"
"Quel pays a pour capitale Tokyo ?","Chine","Corée du Sud","Japon","Vietnam","Japon"
